主要影响年龄层为儿童,主要影响年龄层为成年,主要影响年龄层为老年,主要影响年龄层为青年,事件热度,事件历史悠久程度,地点,开始日期,是否会议,是否体育赛事,是否天气,是否展会,是否影响商务人群,是否影响社会大众,是否有固定的参与人群,是否演唱会,标题,结束日期,事件一年内频率,是否是国内民间协会,是否是国内行业协会,是否是国家政府,是否是国际性组织,是否是国际民间协会,是否是国际行业协会,是否是地方级政府,是否是省政府
0,1,0,0,1,1,郑州市,2017/11/16,0,0,0,1,1,0,0,0,"2017郑州（国际）纺织面辅料及纱线展览会,2017郑州（国际）缝制设备展览会",2017/11/18,1,0,1,0,0,0,0,0,0
0,1,0,0,1,3,青岛市,2018/4/9,0,0,0,1,1,0,0,0,"2018第十五届中国国际橡胶技术（青岛）展览会,2018中国国际轮胎暨车轮（青岛）展览会",2018/4/11,1,0,0,0,0,0,0,1,0
0,1,0,0,2,3,济南市,2017/11/17,0,0,0,1,1,0,0,0,"2017第十一届中国（山东）国际糖酒食品交易会,2017中国餐饮食材博览会暨中国精品美食嘉年华",2017/11/19,1,0,0,0,0,0,0,0,0
0,1,0,0,2,1,义乌市,2017/11/23,0,0,0,1,1,0,0,0,"2017义乌国际工业自动化及机器人展览会,2017中国义乌国际激光技术与加工应用展览会",2017/11/25,1,0,0,0,0,0,0,0,1
0,1,0,0,1,3,成都市,2018/4/12,0,0,0,1,1,0,0,0,"第十一届成都国际照明及LED展览会,2018成都舞台灯光、音响展览会",2018/4/15,1,0,1,0,0,0,0,0,0
0,1,0,0,1,1,成都市,2017/10/27,0,0,0,1,1,0,0,0,"2017第十八届国际高端健康食用油及橄榄油（成都）博览会,2017亚洲（成都）国际进口食品饮料博览会",2017/10/29,3,1,0,0,0,0,0,0,0
0,1,0,0,2,1,重庆市,2018/4/9,0,0,0,1,1,0,0,0,"2018第二届中国（重庆）建筑及装饰材料博览会,2018中国（重庆）门业及定制家居展览会",2018/4/11,1,0,0,0,0,0,1,0,0
0,1,0,0,2,2,重庆市,2017/12/1,0,0,0,1,1,0,0,0,"2017中国（重庆）国际幼教用品及幼儿教育展览会,2017年中国（重庆）国际孕婴童产品博览会,2017中国（重庆）文化用品交易会,暨制笔文具博览会",2017/12/3,2,1,0,0,0,0,0,0,0
0,1,0,0,1,1,深圳市,2017/11/24,0,0,0,1,1,0,0,0,"2017第十八届中国(深圳)国际胶粘带、保护膜及光学膜展览会,2017第十四届中国（深圳）国际高性能薄膜制造技术展览会",2017/11/26,2,0,0,0,0,0,0,0,0
0,1,0,0,1,1,深圳市,2017/11/16,0,0,0,1,1,0,0,0,"2017深圳国际移动医疗健康产业博览会,中国国际高新技术成果交易会智慧医疗健康展",2017/11/21,2,0,0,0,0,0,0,0,0
