主要影响年龄层为儿童,主要影响年龄层为成年,主要影响年龄层为老年,主要影响年龄层为青年,事件热度,事件一年内频率,事件历史悠久程度,开始日期,是否会议,是否体育赛事,是否天气,是否展会,是否影响商务人群,是否影响社会大众,是否是否是国内民间协会,是否是国内行业协会,是否是国家政府,是否是国际性组织,是否是国际民间协会,是否是国际行业协会,是否是地方级政府,是否是省政府,是否有固定的参与人群,是否演唱会,标题,结束日期,地点
0,1,0,0,1,1,1,2012/11/27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,(预告)11月27日周华健/范玮琪/苏慧伦“一生情一杯酒”成都演唱会,2012/11/27,null
0,1,0,0,1,1,1,2012/11/30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,(预告)11月30日罗大佑“咪咕和TA的朋友们”益阳歌友会,2012/11/30,null
0,1,0,0,1,1,1,2012/12/1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,(预告)12月1日陈升“20岁的练习曲”香港演唱会,2012/12/1,null
0,1,0,0,2,1,1,2012/12/1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,(预告)12月1日丁当“真爱好难得”杭州演唱会,2012/12/1,null
0,1,0,0,1,1,1,2012/12/1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,(预告)12月1日罗大佑华语音乐大师唱响长岛文艺晚会,2012/12/1,null
0,1,0,0,1,1,1,2012/12/7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,(预告)12月7日李宗盛“我们的生活充满阳光”大型群星主题演唱会,2012/12/7,null
0,1,0,0,2,1,1,2012/12/8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,(预告)12月8日五月天“诺亚方舟”巡回福州演唱会,2012/12/8,null
0,1,0,0,2,1,1,2012/12/8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,(预告)12月8日“滚石30”广州演唱会,2012/12/8,null
0,1,0,0,1,1,1,2012/12/10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,12月10日周华健、蔡健雅贵州遵义至遵群星演唱会,2012/12/10,null
0,1,0,0,1,1,1,2012/12/14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,(预告)12月14日周华健蔡健雅包头“中国移动拼盘歌友会”,2012/12/14,null
