主要影响年龄层为儿童,主要影响年龄层为成年,主要影响年龄层为老年,主要影响年龄层为青年,事件热度,事件一年内频率,事件历史悠久程度,开始日期,是否会议,是否体育赛事,是否天气,是否展会,是否影响商务人群,是否影响社会大众,是否是否是国内民间协会,是否是国内行业协会,是否是国家政府,是否是国际性组织,是否是国际民间协会,是否是国际行业协会,是否是地方级政府,是否是省政府,是否有固定的参与人群,是否演唱会,标题,结束日期,地点
0,1,0,0,1,1,1,2017/08/27,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2017赛季中国足球甲级联赛—大连超越VS保定容大,2017/08/27,未知
0,1,0,0,1,1,1,2017/11/05,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,The Color Run! 彩色跑重庆站,2017/11/05,未知
0,1,0,0,2,1,1,2017/09/24,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,【9.9秒杀】2017武汉网球公开赛 100元开幕式门票,2017/09/24,未知
0,1,0,0,3,1,1,2017/10/05,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2017NBA深圳赛,2017/10/05,未知
0,1,0,0,1,1,1,2017/08/27,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2017中国足球甲级联赛北京人和VS青岛黄海,2017/08/27,未知
0,1,0,0,2,1,1,2017/09/23,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2017英雄联盟全球总决赛一武汉站,2017/10/15,未知
0,1,0,0,1,1,1,2017/03/12,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2017中国足球协会甲级联赛杭州绿城主场赛事,2017/10/21,未知
0,1,0,0,2,1,1,2017/03/18,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2017中甲联赛-上海申鑫,2017/10/21,未知
0,1,0,0,2,1,1,2017/10/08,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2017NBA上海赛,2017/10/08,未知
0,1,0,0,2,1,1,2017/09/23,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2017/18 赛季曼城主场观赛套餐,2018/05/05,未知
0,1,0,0,2,1,1,2017/07/22,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2017国际冠军杯中国赛深圳站,2017/07/22,深圳市
0,1,0,0,2,1,1,2017/07/07,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2017年世界女排大奖赛（中国·昆山站）,2017/07/07,苏州市
