主要影响年龄层为儿童,主要影响年龄层为成年,主要影响年龄层为老年,主要影响年龄层为青年,事件一年内频率,事件历史悠久程度,事件热度,开始日期,是否会议,是否体育赛事,是否天气,是否展会,是否影响商务人群,是否影响社会大众,是否是否是国内民间协会,是否是国内行业协会,是否是国家政府,是否是国际性组织,是否是国际民间协会,是否是国际行业协会,是否是地方级政府,是否是省政府,是否有固定的参与人群,是否演唱会,标题,结束日期,地点,天气预警等级
1,1,1,1,0,0,1,2017/08/20,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,江西省南昌市发布雷电黄色预警,2017/08/20,江西省南昌市,Ⅲ级预警
1,1,1,1,0,0,1,2017/08/20,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,江西省赣州市发布雷电黄色预警,2017/08/20,江西省赣州市,Ⅲ级预警
1,1,1,1,0,0,1,2017/08/21,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,湖北省恩施土家族苗族自治州发布雷电黄色预警,2017/08/21,,Ⅲ级预警
1,1,1,1,0,0,1,2017/08/21,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,青海省海北藏族自治州发布暴雨蓝色预警,2017/08/21,青海省海北藏族自治州,IV级预警
1,1,1,1,0,0,1,2017/08/21,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,湖南省常德市发布暴雨黄色预警,2017/08/21,湖南省常德市,Ⅲ级预警
1,1,1,1,0,0,1,2017/08/21,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,广东省汕头市发布台风白色预警,2017/08/21,广东省汕头市,IV级预警
1,1,1,1,0,0,1,2017/08/21,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,广东省惠州市发布台风白色预警,2017/08/21,广东省惠州市,IV级预警
1,1,1,1,0,0,1,2017/08/21,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,广东省深圳市发布高温橙色预警,2017/08/21,广东省深圳市,Ⅱ级预警
1,1,1,1,0,0,1,2017/08/21,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,广东省惠州市发布高温橙色预警,2017/08/21,广东省惠州市,Ⅱ级预警
1,1,1,1,0,0,1,2017/08/21,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,广东省汕尾市发布高温黄色预警,2017/08/21,广东省汕尾市,Ⅲ级预警
1,1,1,1,0,0,1,2017/08/29,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,广东省揭阳市发布高温黄色预警,2017/08/29,广东省揭阳市,Ⅲ级预警
