地点,开始日期,标记,标题,正文,结束日期,链接
北京国家会议中心,日前,1,2017-09-05本网讯（记者李淼实习生段茜）,作者:李淼 段茜 来源:中国新闻出版广电网 时间: 2017-09-05本网讯（记者 李淼 实习生 段茜）第三届中国互联网安全领袖峰会日前在北京国家会议中心举行。本届峰会以“安全新秩序、连接新机遇”主题，聚集了超过500家机构和企业的5000余位代表参会，共同探讨全新环境和形势下网络安全的新秩序构建、安全连接数字经济的新发展机遇。本次峰会为期两天，共有1个主会场，10个分会场，峰会围绕大数据与云安全、安全法治治理、网络空间威胁态势感知、基础设施安全、人工智能与安全伦理、智能硬件与物联网安全、金融安全、腾讯安全探索等议题展开探讨。随着“互联网+”的持续推进，数字经济的快速发展，网络安全也发生了重大改变。数据显示，2016年共发生1800起数据泄露事件，近14亿条记录外泄；而据估算，2016年，因垃圾短信、诈骗信息、资料泄露等原因，国内6.88亿网民的经济损失高达915亿元,日前,http://www.chinaxwcb.com/2017-09/05/content_360763.htm
null,昨日,1,2017中国机器人产业创新峰会,2017中国机器人产业创新峰会昨日开幕，智惠加代表出席 发布时间：2017-09-05 10:31:03 | 来源：中华网 | 作者：白冰 | 责任编辑：科学频道8月27日，2017中国（广州）机器人产业创新峰会在广州香格里拉酒店正式启幕。本次峰会由中国工业经济联合会、中国机械工业集团有限公司共同主办，国机智能科技有限公司等单位联合承办，有来自国家部委、省市政府的领导、中国工程院院士、国内外业内专家、企业家代表等500余位人士出席。智惠加创始人闫中先生（前排左三）香江集团数码智能事业部董事总经理、智惠加创始人闫中先生代表集团董事会主席参与出席本次峰会。与会期间，除了向莅临现场的专家和领导们请教智能领域的相关政策导向及专业知识，闫中先生还向专家领导们展示了智惠加独立开发的智能产品——智能按摩萌宠，其创新巧妙的设计外形、智能环保的设计工艺获得现场专家领导们的一致肯定及赞赏。香江集团从2016年开始布局移动互联+智能板块，旨在打造全新的消费服务升级平台！智惠加App作为该板块的先驱者，倡导智购物、智社交，领创“主角经济”时代——让每个用户都成为智时代的主角，让世界因“你”而不同！,昨日,http://science.china.com.cn/2017-09/05/content_39112713.htm
南京,9月18-19日,1,我国服务机器人领域规模最大、规格最高的专业峰会“第三届国际服务机器人产业高峰论坛,9月18-19日，我国服务机器人领域规模最大、规格最高的专业峰会“第三届国际服务机器人产业高峰论坛”将在南京举行。业内专家认为，在需求增长、消费水平提升的双重因素驱动下，服务机器人增速和产业规模都将超过工业机器人，成为拉动机器人行业增长的新动力。近年来在全球机器人市场规模中占比最小的服务机器人增速表现突出。2016-2020年市场年平均增速或达27.9%，高于工业机器人和特种机器人。预计2017年全球机器人市场规模将达到232亿美元,9月18-19日,"http://fund.eastmoney.com/news/1847,20170905773886695.html"
广州,2017/09/05,1,2017中国机器人产业创新峰会,行业重要资讯：2017中国机器人产业创新峰会在广州召开。2017年8月27日，由中国工业经济联合会和中国机械工业集团有限公司主办的2017中国机器人产业创新峰会在广州召开。峰会重点围绕机器人研究应用、产业发展、创新融合等内容，开展高水平的学术交流，共建协同创新平台，共同分析机器人发展面临的机遇和挑战，探讨了中国机器人产业创新与发展的路径。峰会同期的展会展示了国内外行业领军企业在智能制造领域具有代表性的技术成果。（来源:中国机械工业联合会机经网）8列64辆！中车签下巴西圣保罗城轨第一单,2017/09/05,http://stock.cngold.org/info/report/c79888.htm
null,2017/09/05,1,金砖峰会,金砖峰会一召开 美国的朋友圈“炸了”2017-09-05 06:43:36来源：环球网 用微信扫描二维码分享至好友和朋友圈原标题：金砖峰会一召开美国的朋友圈“炸了”！ 原标题：金砖峰会一召开美国的朋友圈“炸了”！zhang_yuan 看过本文章的人还看过：[责任编辑：张园 PF017] 责任编辑：张园 PF017 推荐 用微信扫描二维码分享至好友和朋友圈免责声明：本文仅代表作者个人观点，与凤凰网无关。其原创性以及文中陈述文字和内容未经本站证实，对本文以及其中全部或者部分内容、文字的真实性、完整性、及时性本站不作任何保证或承诺，请读者仅作参考，并请自行核实相关内容。,2017/09/05,http://finance.ifeng.com/a/20170905/15649330_0.shtml
广州,2017年8月30日,1,广东省经济和信息化委员会,2017年8月30日，广东省经济和信息化委员会在广州举办了广东省大型骨干企业与中小企业合作对接峰会（汽车制造产业链专场），省中小企业局局长姚德洪出席会议并讲话。会上进行了对接意向现场签约。会议还举办了“汽车+制造+大数据+金融”圆桌论坛。,2017年8月30日,http://news.sina.com.cn/o/2017-09-05/doc-ifykpuui1080555.shtml
湖州皇冠大酒店,2017年8月30日,1,浙江威普生活电器浙江湖州地区营销峰会,"赢在终端 引爆成交—威普电器湖州站营销峰会隆重召开房天下 2017-09-01 14:54[摘要]2017年8月30日，浙江威普生活电器浙江湖州地区营销峰会在湖州皇冠大酒店隆重召开。本次会议由威普电器湖州经销商湖州所伦电器承办。本次会议以“赢在终端 引爆成交”为主题，威普电器董事长张夏庆，所伦电器总经理吴总,威普电器集成灶事业部部长苏荣军以及其他卫浴品牌负责人，媒体界朋友和浙江湖州各县市乡镇经销商齐聚一堂，同忆峥嵘岁月，共商发展之路。会议伊始，威普电器董事长张夏庆先生就公司2017年极具创新的经营模式所带来持续增长的市场规模与业绩不断提升的骄人成果表示了认可与肯定。张总表示，厨电行业的大环境在2017年依然呈现上升趋势，威普电器依然坚持走创新升级的战略路线，在产品创新、终端建设、产品质量、新产品推广、终端店面销售帮扶活动等方面将加大投入，为客户提供高价值的产品和服务，提升威普电器在市场的竞争新优势",2017年8月30日,http://news.fang.com/2017-09-01/26238839.htm
上海徐汇西岸艺术中心,30日,1,2017全球(上海)人工智能创新峰会,原标题：2017全球（上海）人工智能创新峰会开幕中新网上海8月30日电 (记者 郑莹莹)由工信部、科技部、国家发改委指导，上海市经信委、上海市科委、上海市发改委、徐汇区政府、中国人工智能产业发展联盟共同主办的“2017全球(上海)人工智能创新峰会”30日在上海徐汇西岸艺术中心举行。上海市委常委、常务副市长周波在致辞中称，人工智能对上海建设有全球影响力的科创中心、四个中心建设以及智慧城市建设、智能制造来说非常重要，上海将营造更加良好的生态环境促进人工智能的发展。据悉，上海发展人工智能具有三方面发展优势：一是大数据资源优势。上海建成了覆盖2400万常住人口、200多万家企业以及涵盖全市域的人口、法人、空间地理基础数据库；上海全市医联数据共享系统拥有250亿条数据，交通数据流量每日新增30GB；上海大数据交易中心日均数据交易量3000万条。二是智慧应用基础优势,30日,http://finance.ifeng.com/a/20170830/15626355_0.shtml
四川,8月31日,1,享有“天府之国”美称的成都,四川新闻网成都9月1日讯（陈斯 文/图）8月31日，“第四届全球传感器高峰论坛暨中国物联网应用峰会”在国家历史文化名城、“十大古都”之一，享有“天府之国”美称的成都召开。此次会议在四川省经济和信息化委员会指导下，由中国科学院微电子研究所、中国科学院控股有限公司主办，由中国科学院物联网研究发展中心、中科院创新孵化投资公司联合承办，在成都市经济和信息化委员会、成都市双流区人民政府支持下，以“聚集真知灼见，共谋产业发展”为主题，共同探讨全球传感器、中国物联网应用产业的现在与未来、挑战与机遇。中国科学院微电子研究所所长、中国科学院物联网研究发展中心主任叶甜春、国家集成电路产业投资基金股份有限公司总裁丁文武、中国科学院控股有限公司董事长吴乐斌、四川省经济和信息化委员会副主任王文胜、工业和信息化部电子信息司副处长龙寒冰以及省级有关部门负责人、有关专家、企业家出席峰会，会议由中国科学院微电子研究所副所长、中国科学院物联网研究发展中心常务副主任陈大鹏、传奇天辉影视文化（北京）有限公司董事长耿潇男担任主持人。本次峰会是一次国际性盛会，峰会邀请了来自中华人民共和国工业和信息化部、中国科学院微电子研究所、中国科学院控股有限公司、国家集成电路产业投资基金股份有限公司等国内大型科研机构、研究院所、投融资机构的各位专家学者与国内大型企事业机构的代表共聚一堂聚焦当下最热门的几大主题：装备制造与传感器、航空燃机、发动机新材料、工业数字化仿真技术、机器人与智能制造、新能源汽车、无人驾驶、车联网等领域。峰会以“产业融合、创新应用”为宗旨，产品展示为亮点，“传感器•新能源•新材料•集成电路•车联网•发动机•智能制造•物联网”为重点全面铺开,8月31日,http://dy.newssc.org/system/20170901/002262756.html
云南海埂会堂,近日,1,2017国际干细胞与免疫治疗领导者峰会,近日，“2017国际干细胞与免疫治疗领导者峰会”在云南海埂会堂召开。中共昆明市委副书记、市长王喜良，中国科学院院士、中国细胞生物学会理事长、亚太细胞生物学组织主席裴钢，澳大利亚驻成都总领事林明皓，“IVF（试管婴儿）之父”、全球干细胞领域十大科学家、舜喜首席科学家Alan Trounson院士，舜喜健康产业集团董事长夏捷等重量级嘉宾及来自全国各地400多名干细胞研究领域的医、研、企代表出席了此次峰会。此次峰会邀请了全球干细胞领域著名科学家，舜喜首席科学家Alan Trounson院士担任大会荣誉主席并发表主旨演讲。开幕式上，中国科学院院士，中国细胞生物学会理事长，亚太细胞生物学组织主席裴钢院士为峰会致辞。随后，澳大利亚驻成都总领事林明皓为本次峰会荣誉主席、“IVF（试管婴儿）之父”、全球干细胞领域十大科学家、舜喜首席科学家Alan Trounson院士授牌，在舜喜再生医学-云南省干细胞库设立“Alan Trounson荣誉工作站”,近日,http://www.vodjk.com/news/170901/1392776.shtml
